status	id	name
U	04022	russian dressing salad dressing
U	04026	soybean and safflower oil salad dressing
U	04026	with salt salad dressing
U	04027	soybean salad dressing
U	04028	milk cream salad dressing
U	04029	imitation salad dressing
U	04029	soybean without cholesterol salad dressing
U	04030	regular sandwich spread
U	04030	unspecified oils sandwich spread
U	04030	with chopped pickle sandwich spread
U	04031	soybean (partially hydrogenated)-cottonseed (partially hydrogenated) shortening
U	04037	rice bran oil
U	04038	wheat germ oil
U	04053	olive oil
U	04058	sesame oil
U	04060	linoleic (less than 60%) oil
U	04073	hard margarine
U	04073	soybean (hydrogenated) margarine
U	04135	vinegar and oil salad dressing
U	04145	soybean oil salad dressing
U	04145	without salt salad dressing
U	04146	cottonseed salad dressing
U	04146	french salad dressing
U	04146	home recipe salad dressing
U	04146	oil salad dressing
U	04501	cocoa butter oil
U	04506	(approx. 65%) oil
U	04510	(over 70%) oil
U	04511	high oleic (primary safflower oil of commerce) oil
U	04511	safflower oil
U	04513	palm kernel vegetable oil
U	04514	poppyseed oil
U	04515	tomatoseed oil
U	04516	teaseed oil
U	04517	grapeseed oil
U	04518	all purpose salad or cooking oil
U	04518	industrial and retail oil
U	04520	mutton tallow fat
U	04528	walnut oil
U	04529	almond oil
U	04530	apricot kernel oil
U	04531	soybean lecithin oil
U	04532	hazelnut oil
U	04534	babassu oil
U	04536	sheanut oil
U	04541	cupu assu oil
U	04542	chicken fat
U	04543	(partially hydrogenated) and cottonseed oil
U	04543	salad or cooking oil
U	04543	soybean oil
U	04544	lard and vegetable oil shortening
U	04545	(partially hydrogenated) oil
U	04545	linoleic oil
U	04546	shortening bread
U	04546	soybean (hydrogenated) and cottonseed shortening bread
U	04548	shortening cake mix
U	04548	soybean (hydrogenated) and cottonseed (hydrogenated) shortening cake mix
U	04549	lard and vegetable oil shortening industrial
U	04550	beef tallow and cottonseed shortening frying (heavy duty)
U	04551	coconut (hydrogenated) and or palm kernel (hydrogenated) shortening confectionery
U	04551	shortening confectionery
U	04554	shortening industrial
U	04554	soybean (hydrogenated) and cottonseed shortening industrial
U	04556	palm (hydrogenated) shortening frying (heavy duty)
U	04559	shortening household soybean (hydrogenated) and palm
U	04560	linoleic (less than 1%) shortening frying (heavy duty)
U	04560	shortening frying (heavy duty)
U	04560	soybean (hydrogenated) shortening frying (heavy duty)
U	04570	confectionery shortening
U	04570	fractionated palm shortening
U	04572	nutmeg butter oil
U	04573	ucuhuba butter oil
U	04574	duck fat
U	04575	turkey fat
U	04576	fat
U	04576	goose fat
U	04581	avocado oil
U	04583	mustard oil
U	04584	high oleic (70% and over) oil
U	04585	margarine-butter blend margarine-like
U	04585	soybean oil and butter margarine-like
U	04586	soybean (hydrogenated) shortening
U	04586	special purpose for cakes and frostings shortening
U	04587	soybean (hydrogenated) palm and cottonseed shortening
U	04587	special purpose for baking shortening
U	04588	oat oil
U	04589	cod liver fish oil
U	04590	herring fish oil
U	04592	fully hydrogenated fish oil
U	04592	menhaden fish oil
U	04593	salmon fish oil
U	04594	fish oil
U	04594	sardine fish oil
U	04595	multipurpose shortening
U	04595	soybean (hydrogenated) and palm (hydrogenated) shortening
U	04601	with salt butter
U	04602	butter
U	04602	light butter
U	04602	stick butter
U	04602	without salt butter
U	04606	beef tallow meat drippings (lard
U	04606	meat drippings (lard
U	04606	mutton tallow) meat drippings (lard
U	04609	animal fat
U	04609	bacon grease animal fat
U	04615	composite shortening
U	04615	household shortening
U	04615	vegetable shortening
U	04624	fat free margarine-like
U	04624	liquid margarine-like
U	04626	70% fat margarine-like spread with yogurt
U	04626	stick margarine-like spread with yogurt
U	04627	approximately 40% fat margarine-like spread with yogurt
U	04627	margarine-like spread with yogurt
U	04627	tub margarine-like spread with yogurt
U	04627	with salt margarine-like spread with yogurt
U	04628	includes regular and hydrogenated corn and soybean oils margarine
U	04629	70% fat margarine
U	04629	margarine-type vegetable oil spread margarine
U	04629	soybean and partially hydrogenated soybean margarine
U	04630	approximately 48% fat margarine spread
U	04630	margarine spread
U	04630	tub margarine spread
U	04631	fat-free margarine-like
U	04634	20% fat margarine-like
U	04635	thousand island dressing salad dressing
U	04640	ranch dressing salad dressing
U	04642	mid-oleic oil
U	04642	sunflower oil
U	04643	canola with antifoaming agent oil
U	04643	principal uses salads oil
U	04644	canola for salads oil
U	04644	woks and light frying oil
U	04645	canola (partially hydrogenated) oil for deep fat frying oil
U	04646	oil sprays oil
U	04646	principal uses candy coatings oil
U	04646	roasting nuts oil
U	04648	principal uses popcorn and flavoring vegetables oil
U	04649	pourable liquid fry shortening shortening
U	04649	soy (partially hydrogenated) shortening
U	04650	for woks and light frying oil
U	04650	refined oil
U	04651	multiuse for non-dairy butter flavor oil
U	04651	soy (partially hydrogenated) oil
U	04652	all purpose oil
U	04652	soy ( partially hydrogenated) oil
U	04653	pourable clear fry oil
U	04653	soy (partially hydrogenated ) and soy (winterized) oil
U	04654	principal use as a tortilla shortening oil
U	04654	soy (partially hydrogenated)  and cottonseed oil
U	04655	and soy margarine-like shortening
U	04655	cottonseed margarine-like shortening
U	04655	industrial margarine-like shortening
U	04655	margarine-like shortening
U	04655	principal use flaky pastries margarine-like shortening
U	04655	soy (partially hydrogenated) margarine-like shortening
U	04656	palm kernel oil
U	04656	uses similar to high quality cocoa butter oil
U	04657	uses similar to 95 degree hard butter oil
U	04658	intermediate grade product oil
U	04659	coconut oil
U	04659	confection fat oil
U	04659	typical basis for ice cream coatings oil
U	04660	non-dairy oil
U	04660	used for whipped toppings oil
U	04661	coconut (hydrogenated) oil
U	04661	used for whipped toppings and coffee whiteners oil
U	04662	filling fat (non-hydrogenated) oil
U	04662	palm and palm kernel oil
U	04663	filling fat oil
U	04663	palm kernel (hydrogenated) oil
U	04664	palm oil
U	04664	principal uses icings and fillings oil
U	04664	soy (partially hydrogenated ) oil
U	04665	cottonseed margarine
U	04665	for flaky pastries margarine
U	04665	non-dairy margarine
U	04665	soy oil (partially hydrogenated ) margarine
U	04666	soy (partially hydrogenated ) and corn for frying shortening
U	04667	industrial shortening
U	04667	shortening
U	04667	soy (partially hydrogenated ) for baking and confections shortening
U	04668	industrial margarine
U	04668	sauces and candy margarine
U	04668	soy and partially hydrogenated soy oil margarine
U	04668	use for baking margarine
U	04669	refined usda commodity food
U	04669	soybean usda commodity food
U	04670	low saturated fat usda commodity food
U	04670	oil usda commodity food
U	04670	usda commodity food
U	04670	vegetable usda commodity food
U	04673	smart balance regular buttery spread with flax oil margarine-like spread
U	04674	smart balance light buttery spread margarine-like spread
U	04675	smart beat super light without saturated fat margarine-like spread
U	04676	smart beat smart squeeze margarine-like spread
U	04677	smart balance omega plus spread (with plant sterols & fish oil) margarine-like spread
U	04678	high oleic (70%) oil
U	04678	high stability oil
U	04678	natreon canola oil
U	04678	non trans oil
U	04678	vegetable oil
U	04679	original oil
U	04679	pam cooking spray oil
U	04683	67-70% fat margarine
U	04683	margarine-like vegetable oil spread margarine
U	04684	canola harvest soft spread (canola margarine
U	04684	palm and palm kernel oils) margarine
U	04685	80% diglycerides oil
U	04685	cooking and salad oil
U	04685	enova oil
U	04686	honey mustard dressing salad dressing
U	04687	benecol light spread margarine-like spread
U	04687	margarine-like spread
U	04688	assorted flavors salad dressing
U	04688	spray-style dressing salad dressing
U	04689	mayonnaise salad dressing
U	04689	omega plus light salad dressing
U	04689	smart balance salad dressing
U	04690	approximately 37% fat margarine-like
U	04690	unspecified oils margarine-like
U	04692	tub margarine
U	04692	with salt margarine
U	04695	60% fat margarine-like vegetable-oil spread
U	04695	margarine-like vegetable-oil spread
U	04695	stick/tub/bottle margarine-like vegetable-oil spread
U	04695	with added vitamin d margarine-like vegetable-oil spread
U	04696	80% fat margarine
U	04696	composite margarine
U	04696	margarine
U	04696	regular margarine
U	04696	stick margarine
U	04696	with added vitamin d margarine
U	04696	without salt margarine
U	04697	60% fat margarine-like
U	04697	stick/tub/bottle margarine-like
U	04697	with added vitamin d margarine-like
U	04698	canola oil
U	04698	high oleic oil
U	04699	low linolenic oil
U	04700	ultra low linolenic oil
U	04701	soy oil
U	04702	cottonseed oil
U	04702	fully hydrogenated oil
U	04702	industrial oil
U	04703	honey mustard salad dressing
U	04704	creamy salad dressing
U	04704	poppyseed salad dressing
U	04706	dressing
U	04706	fat-free dressing
U	04706	honey mustard dressing
U	04707	contains added sliced flaxseed oil
U	04708	reduced fat mayonnaise
U	04708	with olive oil mayonnaise
U	04709	mayonnaise-type salad dressing
U	05000	breast meat only chicken
U	05024	gizzard chicken
U	05026	heart chicken
U	05047	separable fat chicken
U	05083	leg chicken
U	05087	cooked simmered chicken
U	05090	neck chicken
U	05101	batter chicken
U	05102	flour chicken
U	05111	breast meat canada goose
U	05111	canada goose
U	05111	raw canada goose
U	05111	skinless canada goose
U	05120	roasting chicken
U	05122	and giblets and neck chicken
U	05130	light meat chicken
U	05132	stewed chicken
U	05132	stewing chicken
U	05134	meat and skin and giblets and neck chicken
U	05138	capons chicken
U	05138	giblets chicken
U	05138	simmered chicken
